model id,words,label-occurrences,nodes,edge,splits,joins,sequences,loops,task,event,inclusiveGateway,parallelGateway,exclusiveGateway,eventBasedGateway
2070,1.25,1,2,1,0,0,0,0,0,2,0,0,0,0
2071,1.72,1,13,13,1,1,3,0,9,3,0,0,1,0
2072,1.260869565,1,11,11,1,1,2,0,4,2,0,1,0,0
2073,2.173913043,1.2,16,17,2,2,1,0,5,3,0,1,1,0
2074,1.5,1,3,2,0,0,1,0,0,3,0,0,0,0
2075,1,1,2,1,0,0,0,0,0,2,0,0,0,0
2076,1.1,1,2,1,0,0,0,0,0,2,0,0,0,0
2077,1.125,1,3,2,0,0,1,0,2,2,0,0,0,0
2078,1.875,1,9,9,1,1,1,0,5,3,0,1,0,0
2079,3.625,1.1875,25,27,3,3,3,0,5,3,1,1,1,0
2080,1.705882353,1.25,12,12,1,1,3,0,5,3,0,0,1,0
2081,1.6,1.166666667,9,9,1,1,1,0,5,3,0,0,1,0
2082,1.423076923,1,11,11,1,1,2,0,5,3,0,1,0,0
2083,1.833333333,1.166666667,9,9,1,1,1,0,3,3,0,0,1,0
2084,2.057142857,1.2,30,32,3,3,6,0,10,3,0,1,1,1
2085,1.5,1.142857143,9,9,1,1,1,0,0,3,0,0,1,0
2086,2.03125,1.055555556,23,24,2,3,5,0,6,3,0,0,1,0
2087,2.363636364,1,8,7,1,0,1,0,2,3,0,0,1,0
2088,1.230769231,1.2,8,8,1,1,1,0,7,2,0,0,1,0
2089,3.714285714,1.25,31,33,3,3,6,0,7,3,0,1,1,0
2090,2.107142857,1.266666667,23,24,2,2,3,0,5,3,0,1,1,0
2091,1.75,1.076923077,18,19,2,2,1,0,4,3,1,0,1,0
2092,2.72,1.333333333,20,21,2,2,3,0,3,3,0,0,1,0
2093,1.6,1,2,1,0,0,0,0,0,2,0,0,0,0
2094,2.733333333,1.090909091,16,17,2,2,3,0,6,2,0,1,1,0
2095,1.173913043,1,10,10,1,1,2,0,2,3,0,0,1,0
2096,3,1.076923077,16,16,1,1,4,0,6,3,0,0,1,0
2097,1.285714286,1,3,2,0,0,1,0,1,2,0,0,0,0
2098,1.375,1.5,3,2,0,0,1,0,0,3,0,0,0,0
2099,1,1,3,2,0,0,1,0,0,2,0,0,0,0
2100,1.454545455,1,3,2,0,0,1,0,0,3,0,0,0,0
2101,1.52173913,1,14,14,1,1,3,0,5,3,0,0,1,0
2102,3.173913043,1.235294118,27,29,3,3,3,0,10,4,0,0,1,0
2103,2.4,1.5,7,6,1,0,1,0,2,2,0,0,1,0
2104,1,1,4,3,0,0,1,0,2,2,0,0,0,0
2105,1.6,1,9,9,1,1,1,0,3,3,0,0,1,0
2106,1.275862069,1,12,13,2,1,2,3,2,2,0,0,1,0
2107,1.880952381,1.086956522,33,36,4,4,4,0,7,3,0,1,1,1
2108,1.269230769,1.222222222,13,13,1,1,2,0,5,3,0,0,1,0
2109,2.913043478,1.166666667,27,29,3,3,5,0,7,4,0,1,1,0
2110,1.636363636,1.142857143,10,10,1,1,2,0,0,3,0,1,0,0
2111,2,1.5,11,11,1,1,2,0,5,3,0,0,1,0
2112,2.333333333,1.166666667,27,29,3,4,4,0,6,4,0,1,1,0
2113,2.28,1.538461538,25,26,3,2,3,0,6,4,0,0,1,0
2114,1.9,1,13,13,1,1,3,0,3,3,0,0,1,0
2115,1.826086957,1.272727273,18,19,2,2,2,0,6,3,0,0,1,0
2116,1.333333333,1,2,1,0,0,0,0,0,2,0,0,0,0
2117,3.4375,2.8,16,16,1,1,3,0,5,3,0,0,1,0
2118,1.545454545,1.4,9,9,1,1,1,0,2,3,0,0,1,0
2119,1.882352941,1.2,22,23,2,2,3,0,5,5,0,0,1,1
2120,1,1,1,0,0,0,0,0,1,1,0,0,0,0
2121,1.571428571,1.333333333,4,3,0,0,1,0,1,3,0,0,0,0
2122,1.25,1,3,2,0,0,1,0,3,2,0,0,0,0
2123,1.25,1,4,3,0,0,1,0,1,3,0,0,0,0
2124,2.181818182,1.090909091,14,13,1,1,2,0,6,3,0,0,1,0
2125,1.56097561,1.117647059,25,30,5,4,1,1,9,2,0,1,1,0
2126,1.4,1,8,8,1,1,1,0,2,3,0,1,0,0
2127,1.222222222,1,4,3,0,0,1,0,2,2,0,0,0,0
2128,1.318181818,1,11,11,1,1,2,0,3,3,0,0,1,0
2129,1.933333333,1,10,10,1,1,1,0,6,4,0,0,1,0
2130,2.216216216,1.4375,29,31,3,3,5,0,5,4,0,1,1,0
2131,1.428571429,1.166666667,9,9,1,1,1,0,2,3,0,1,0,0
2132,1.860465116,1.117647059,23,24,2,2,6,0,7,6,0,0,1,0
2133,1.666666667,1,9,9,1,1,2,0,2,4,0,1,0,0
2134,1.523809524,1.285714286,11,11,1,1,1,0,4,3,0,1,0,0
2135,2.068181818,1.315789474,31,34,3,4,4,24,6,2,1,0,1,0
2136,2.333333333,1.2,24,26,3,3,2,0,4,3,0,1,1,0
2137,2,1.375,14,14,2,1,2,0,2,3,0,0,1,0
2138,2.266666667,1.1,15,16,2,2,1,0,4,4,0,1,1,0
2139,1,1,3,2,0,0,1,0,0,3,0,0,0,0
2140,1.32,1.1,15,16,2,2,1,0,4,3,0,1,0,1
2141,2.1,1,14,14,1,1,2,0,2,3,0,1,0,0
2142,1.517241379,1.071428571,19,20,2,2,3,0,5,3,0,1,1,0
2143,1.2,1,2,1,0,0,0,0,0,2,0,0,0,0
2144,1,1,2,1,0,0,0,0,0,2,0,0,0,0
2145,1.166666667,1,4,3,0,0,1,0,2,2,0,0,0,0
2146,1.4,1,3,2,0,0,1,0,1,2,0,0,0,0
2147,1.375,1.142857143,10,10,1,1,1,0,2,3,0,1,0,0
2148,3.157894737,2,30,32,3,3,4,0,6,3,0,0,1,1
2149,1.363636364,1,7,7,1,1,1,0,0,4,1,0,0,0
2150,1.538461538,1.142857143,10,10,1,1,2,0,3,2,0,0,0,1
2151,1.785714286,1.166666667,9,9,1,1,1,0,2,3,0,1,0,0
2152,1.75,1.166666667,9,9,1,1,1,0,4,3,0,1,0,0
2153,2.805555556,1.705882353,35,38,4,4,5,2,6,4,0,1,1,0
2154,1.4,1.125,11,11,1,1,2,0,3,3,0,0,1,0
2155,2.5,1.357142857,25,27,3,3,2,0,6,3,0,1,1,0
2156,1.583333333,1,8,8,1,1,1,0,1,3,0,1,0,0
2157,1.941176471,1,10,10,1,1,1,0,4,4,0,0,1,0
2158,1.794871795,1.15,29,31,3,3,3,0,6,3,0,1,1,0
