model id,words,label-occurrences,nodes,edge,splits,joins,sequences,loops,task,event,parallelGateway,exclusiveGateway,eventBasedGateway
976,3.746031746031746,1.5121951219512195,81,95,14,12,11,0,0,4,1,1,1
977,2.7794117647058822,1.1951219512195121,57,72,10,9,4,0,0,4,1,1,0
978,2.4186046511627906,1.04,34,37,4,4,4,0,0,4,0,1,0
979,2.3658536585365852,1.1666666666666667,35,43,7,5,5,0,0,4,1,1,0
980,1.25,1.0,3,2,0,0,1,0,0,3,0,0,0
981,2.0588235294117645,1.105263157894737,27,35,7,4,1,0,0,4,1,1,0
982,2.6595744680851063,1.28,40,49,5,7,5,0,0,4,1,1,0
983,2.1956521739130435,1.24,41,51,8,6,5,0,0,4,1,1,0
984,2.8545454545454545,1.05,52,56,5,5,7,0,0,4,1,1,0
985,3.425925925925926,1.1136363636363635,60,77,12,8,7,0,0,4,1,1,0
986,3.573529411764706,1.346938775510204,80,89,10,8,12,0,0,4,1,1,1
987,3.107142857142857,1.3055555555555556,57,67,9,7,9,0,0,4,1,0,0
988,2.1363636363636362,1.0769230769230769,34,42,4,6,3,0,0,4,1,1,0
989,2.395348837209302,1.2857142857142858,33,35,4,4,4,0,0,4,0,1,0
990,1.5,1.0,2,1,0,0,0,0,0,2,0,0,0
991,2.3076923076923075,1.1818181818181819,31,38,5,7,1,0,0,4,1,0,0
992,2.409090909090909,1.1666666666666667,36,39,4,4,6,0,0,4,0,1,0
993,2.769230769230769,1.1666666666666667,45,49,5,5,5,0,0,4,0,1,0
994,2.66,1.3333333333333333,50,54,5,5,7,0,0,4,0,1,0
995,3.418181818181818,1.2439024390243902,63,74,9,7,6,0,0,4,1,1,0
996,3.5945945945945947,1.4074074074074074,94,112,13,16,7,0,0,4,1,1,0
997,3.0163934426229506,1.3,63,73,9,7,10,0,0,4,1,1,0
998,2.2,1.2173913043478262,35,44,7,5,3,0,0,4,1,1,0
999,2.489795918367347,1.24,39,49,6,7,1,0,0,4,1,1,0
